"Licence","Licence"
"License Key","License Key"
"Enter your license key here","Enter your license key here"
"Enabled","Enabled"
"A valid license key is required in order to enable the module.","A valid license key is required in order to enable the module."
"Rich Snippets Configuration","Rich Snippets Configuration"
"Yes","Yes"
"No","No"
"Breadcrumbs configuration","Breadcrumbs configuration"
"Enable the Rich Snippets on your product page to show your rich product data in Google, Yahoo and BING.","Enable the Rich Snippets on your product page to show your rich product data in Google, Yahoo and BING."
"Location in Footer","Location in Footer"
"Visible - Complete schema block (recommended)","Visible - Complete schema block (recommended)"
"Visible - Summary block in footer","Visible - Summary block in footer"
"Hidden - Hidden meta data (not recommended)","Hidden - Hidden meta data (not recommended)"
"Data: Description","Data: Description"
"Data: Stock","Data: Stock"
"Data: Reviews","Data: Reviews"
"Data: Brand","Data: Brand"
"Data: Color","Data: Color"
"Data: Model","Data: Model"
"Data: Product Identifier","Data: Product Identifier"
"Color Attribute","Color Attribute",
"Model Attribute","Model Attribute",
"Category Page Configuration","Category Page Configuration"
"Generate Rich Snippets for your categegory page e.g. Our cell phones has been rated 2.4/5 based on 12 individual customer review(s).","Generate Rich Snippets for your categegory page e.g. Our cell phones has been rated 2.4/5 based on 12 individual customer review(s)."
"Type of display","Type of display"
"Location in Footer","Location in Footer"
"Attribute","Attribute"
"Reviews / Votes","Reviews / Votes"
"Pinterest Rich Product Pins","Pinterest Rich Product Pins"
"The Rich Product Pins are now include pricing, availability and brand inside a Pin.","The Rich Product Pins are now include pricing, availability and brand inside a Pin."
"Enable on Productpage","Enable on Productpage"
"Enable on Category Page","Enable on Category Page"
"Sitename","Sitename"
"Twitter Cards","Twitter Cards"
"This Twitter product Card type is designed to showcase your products via an image, a description, and allow you to highlight other key details about your product.","This Twitter product Card type is designed to showcase your products via an image, a description, and allow you to highlight other key details about your product."
"Twitter Username","Twitter Username"
"Data Validation","Data Validation"
"Use snippets on product page","Use snippets on product page"
"Use Description","Use Description"
"Display short desciption in search result","Display short desciption in search result"
"Use Stock","Use Stock"
"Display in stock or out of stock in search results","Display in stock or out of stock in search results"
"Use Product Reviews","Use Product Reviews"
"Display review score (stars) in search result","Display review score (stars) in search result"
"Use Brand","Use Brand"
